TrackerRow,Skill,Perk,Priority,CurrentTestStatus,Reasons,TestCases,TestScenario,TrackerLink
449,Katar,Iron Elbows,Direct change,Pass,Typed mitigation for triggered Physical/Force hits,C11,"C11: Test this splash, pulse, retaliation or reflection against Physical and Force damage-taken reduction or vulnerability, plus generic reduction, typed Leadership and resistance. Typed reduction must apply once and share the 85% target/generic budget. Include Shielding and Dampening Field against Physical hits, Force Warding against Force hits, tiny damage values, and Physical-to-Force conversion with an explicit zero or nonzero original target adjustment. Conversion must not apply the new hit modifier twice. Triggered damage must not chain further procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A449:O449
450,Katar,Whirling Guard,Direct change,Pass,Typed mitigation for triggered Physical/Force hits,C11,"C11: Test this splash, pulse, retaliation or reflection against Physical and Force damage-taken reduction or vulnerability, plus generic reduction, typed Leadership and resistance. Typed reduction must apply once and share the 85% target/generic budget. Include Shielding and Dampening Field against Physical hits, Force Warding against Force hits, tiny damage values, and Physical-to-Force conversion with an explicit zero or nonzero original target adjustment. Conversion must not apply the new hit modifier twice. Triggered damage must not chain further procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A450:O450
478,Katar,Scrapheap Lockdown,Direct change,Retest,Five-target area cap; Hard-control duration / conversion / shared immunity,"C3, C8","C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C8: Use the ability on six or more hostile enemies inside its authored shape. At most five receive the area effect; targets outside the shape and friendly targets remain excluded. Verify ground/direction targeting, companion source attribution and the control/immunity rules in C3. Existing explicit caps on other abilities remain unchanged.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A478:O478
540,Lightsaber,Epicenter,Direct change,Retest,Five-target area cap; Hard-control duration / conversion / shared immunity,"C3, C8","C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C8: Use the ability on six or more hostile enemies inside its authored shape. At most five receive the area effect; targets outside the shape and friendly targets remain excluded. Verify ground/direction targeting, companion source attribution and the control/immunity rules in C3. Existing explicit caps on other abilities remain unchanged.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A540:O540
543,Lightsaber,Deflecting Return I,Direct change,Not Tested,Typed mitigation for triggered Physical/Force hits,C11,"C11: Test this splash, pulse, retaliation or reflection against Physical and Force damage-taken reduction or vulnerability, plus generic reduction, typed Leadership and resistance. Typed reduction must apply once and share the 85% target/generic budget. Include Shielding and Dampening Field against Physical hits, Force Warding against Force hits, tiny damage values, and Physical-to-Force conversion with an explicit zero or nonzero original target adjustment. Conversion must not apply the new hit modifier twice. Triggered damage must not chain further procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A543:O543
550,Lightsaber,Deflecting Return II,Direct change,Not Tested,Typed mitigation for triggered Physical/Force hits,C11,"C11: Test this splash, pulse, retaliation or reflection against Physical and Force damage-taken reduction or vulnerability, plus generic reduction, typed Leadership and resistance. Typed reduction must apply once and share the 85% target/generic budget. Include Shielding and Dampening Field against Physical hits, Force Warding against Force hits, tiny damage values, and Physical-to-Force conversion with an explicit zero or nonzero original target adjustment. Conversion must not apply the new hit modifier twice. Triggered damage must not chain further procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A550:O550
557,Lightsaber,Deflecting Return III,Direct change,Not Tested,Typed mitigation for triggered Physical/Force hits,C11,"C11: Test this splash, pulse, retaliation or reflection against Physical and Force damage-taken reduction or vulnerability, plus generic reduction, typed Leadership and resistance. Typed reduction must apply once and share the 85% target/generic budget. Include Shielding and Dampening Field against Physical hits, Force Warding against Force hits, tiny damage values, and Physical-to-Force conversion with an explicit zero or nonzero original target adjustment. Conversion must not apply the new hit modifier twice. Triggered damage must not chain further procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A557:O557
580,Mimicry,Concussive Challenge,Direct change,Retest,Five-target area cap; Hard-control duration / conversion / shared immunity,"C3, C8, C10","C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C8: Use the ability on six or more hostile enemies inside its authored shape. At most five receive the area effect; targets outside the shape and friendly targets remain excluded. Verify ground/direction targeting, companion source attribution and the control/immunity rules in C3. Existing explicit caps on other abilities remain unchanged. C10: Verify Brace Breaker, Concussive Challenge, Suppressing Shot (Mimicry) and Tail Sweep display and enforce a 24-second cooldown. Base Daze remains 15 seconds. Shared immunity still begins when control ends; switching techniques or attackers cannot bypass it.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A580:O580
598,Mimicry,Suppressing Shot,Direct change,Retest,Five-target area cap; Hard-control duration / conversion / shared immunity,"C3, C8, C10","C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C8: Use the ability on six or more hostile enemies inside its authored shape. At most five receive the area effect; targets outside the shape and friendly targets remain excluded. Verify ground/direction targeting, companion source attribution and the control/immunity rules in C3. Existing explicit caps on other abilities remain unchanged. C10: Verify Brace Breaker, Concussive Challenge, Suppressing Shot (Mimicry) and Tail Sweep display and enforce a 24-second cooldown. Base Daze remains 15 seconds. Shared immunity still begins when control ends; switching techniques or attackers cannot bypass it.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A598:O598
600,Mimicry,Tail Sweep,Direct change,Retest,Five-target area cap; Hard-control duration / conversion / shared immunity,"C3, C8, C10","C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C8: Use the ability on six or more hostile enemies inside its authored shape. At most five receive the area effect; targets outside the shape and friendly targets remain excluded. Verify ground/direction targeting, companion source attribution and the control/immunity rules in C3. Existing explicit caps on other abilities remain unchanged. C10: Verify Brace Breaker, Concussive Challenge, Suppressing Shot (Mimicry) and Tail Sweep display and enforce a 24-second cooldown. Base Daze remains 15 seconds. Shared immunity still begins when control ends; switching techniques or attackers cannot bypass it.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A600:O600
604,Mimicry,Brace Breaker,Direct change,Retest,24-second Daze cooldown; Hard-control duration / conversion / shared immunity,"C3, C10","C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C10: Verify Brace Breaker, Concussive Challenge, Suppressing Shot (Mimicry) and Tail Sweep display and enforce a 24-second cooldown. Base Daze remains 15 seconds. Shared immunity still begins when control ends; switching techniques or attackers cannot bypass it.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A604:O604
618,Mimicry,Seismic Slam,Direct change,Retest,Five-target area cap; Hard-control duration / conversion / shared immunity,"C3, C8","C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C8: Use the ability on six or more hostile enemies inside its authored shape. At most five receive the area effect; targets outside the shape and friendly targets remain excluded. Verify ground/direction targeting, companion source attribution and the control/immunity rules in C3. Existing explicit caps on other abilities remain unchanged.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A618:O618
626,Mimicry,Cryo Bile,Direct change,Retest,Five-target area cap; Outgoing damage cap / flat-damage interaction; Hard-control duration / conversion / shared immunity,"C1, C3, C8","C1: Combine the listed damage bonus with positional, stance, target-status and finisher bonuses. Compare front/side/back and healthy/low-HP targets. Percentage bonuses stop at +100% of the pre-bonus damage; flat bonuses remain afterward, followed by target vulnerability and mitigation. Include ordinary attacks, queued abilities, direct casts and companion attacks where applicable. C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C8: Use the ability on six or more hostile enemies inside its authored shape. At most five receive the area effect; targets outside the shape and friendly targets remain excluded. Verify ground/direction targeting, companion source attribution and the control/immunity rules in C3. Existing explicit caps on other abilities remain unchanged.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A626:O626
630,Mimicry,Final Suppression,Direct change,Retest,Five-target area cap; Hard-control duration / conversion / shared immunity,"C3, C8","C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C8: Use the ability on six or more hostile enemies inside its authored shape. At most five receive the area effect; targets outside the shape and friendly targets remain excluded. Verify ground/direction targeting, companion source attribution and the control/immunity rules in C3. Existing explicit caps on other abilities remain unchanged.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A630:O630
641,Mimicry,Lockstep Crush,Direct change,Retest,Five-target area cap; Hard-control duration / conversion / shared immunity,"C3, C8","C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C8: Use the ability on six or more hostile enemies inside its authored shape. At most five receive the area effect; targets outside the shape and friendly targets remain excluded. Verify ground/direction targeting, companion source attribution and the control/immunity rules in C3. Existing explicit caps on other abilities remain unchanged.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A641:O641
643,Mimicry,Pressure Lock,Direct change,Retest,Five-target area cap; Hard-control duration / conversion / shared immunity,"C3, C8","C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C8: Use the ability on six or more hostile enemies inside its authored shape. At most five receive the area effect; targets outside the shape and friendly targets remain excluded. Verify ground/direction targeting, companion source attribution and the control/immunity rules in C3. Existing explicit caps on other abilities remain unchanged.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A643:O643
648,Mimicry,Terrifying Bellow,Direct change,Retest,Five-target area cap; Hard-control duration / conversion / shared immunity,"C3, C8","C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C8: Use the ability on six or more hostile enemies inside its authored shape. At most five receive the area effect; targets outside the shape and friendly targets remain excluded. Verify ground/direction targeting, companion source attribution and the control/immunity rules in C3. Existing explicit caps on other abilities remain unchanged.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A648:O648
649,Mimicry,Warden Clamp,Direct change,Retest,Five-target area cap; Hard-control duration / conversion / shared immunity,"C3, C8","C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C8: Use the ability on six or more hostile enemies inside its authored shape. At most five receive the area effect; targets outside the shape and friendly targets remain excluded. Verify ground/direction targeting, companion source attribution and the control/immunity rules in C3. Existing explicit caps on other abilities remain unchanged.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A649:O649
651,Mimicry,Warden Maul,Direct change,Retest,Five-target area cap; Hard-control duration / conversion / shared immunity,"C3, C8","C3: Combine Iron Grip and Scrapper Stance with hard control; verify a final maximum of 30 seconds after duration bonuses and resistance. Attempt same-type refresh, another control type, and late Ground Quake Daze-to-Knockdown conversion. No attempt may postpone the original expiration. After control ends, all hard-control types must fail for 20 seconds. Repeat with two attackers, cleansing and logout/rejoin. Soft debuffs retain their authored refresh/extension behavior. Separately, verify that the self-applied subdual penalty retains its authored 60-second knockdown; the combat cap must not shorten it. C8: Use the ability on six or more hostile enemies inside its authored shape. At most five receive the area effect; targets outside the shape and friendly targets remain excluded. Verify ground/direction targeting, companion source attribution and the control/immunity rules in C3. Existing explicit caps on other abilities remain unchanged.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A651:O651
654,Mimicry,Warden Sweep,Direct change,Pass,Typed mitigation for triggered Physical/Force hits,C11,"C11: Test this splash, pulse, retaliation or reflection against Physical and Force damage-taken reduction or vulnerability, plus generic reduction, typed Leadership and resistance. Typed reduction must apply once and share the 85% target/generic budget. Include Shielding and Dampening Field against Physical hits, Force Warding against Force hits, tiny damage values, and Physical-to-Force conversion with an explicit zero or nonzero original target adjustment. Conversion must not apply the new hit modifier twice. Triggered damage must not chain further procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A654:O654
695,Pistol,Evasive Reload,Direct change,Retest,Independent Stamina discount scopes,C7,"C7: Trigger Flowing Defense, Evasive Reload and Opportunist's Flow together. Expected discounts: hostile Staff -7 STM, hostile Pistol/Rifle/Throwing -7 STM, another hostile combat ability -4 STM, friendly ability 0. A ranged cast consumes the ranged/global discounts and leaves Staff -3. Check separate 30-second expiry, repeated avoidance, queued abilities, misses and minimum-zero cost.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A695:O695
792,Spear,Force Warding I,Direct change,Pass,Typed mitigation for triggered Physical/Force hits,C11,"C11: Test this splash, pulse, retaliation or reflection against Physical and Force damage-taken reduction or vulnerability, plus generic reduction, typed Leadership and resistance. Typed reduction must apply once and share the 85% target/generic budget. Include Shielding and Dampening Field against Physical hits, Force Warding against Force hits, tiny damage values, and Physical-to-Force conversion with an explicit zero or nonzero original target adjustment. Conversion must not apply the new hit modifier twice. Triggered damage must not chain further procs.",https://docs.google.com/spreadsheets/d/1iHMKtrnh3lbUnmrgXtxEQseAJd7WIL6RU51RVSktm4s/edit?gid=2101115203#gid=2101115203&range=A792:O792
